timestamp,open,high,low,close,volume
2021:04:22 17:00:00,54897.11,55018.67,53380.0,53437.4,5143.3657
2021:04:22 18:00:00,53437.4,53682.03,52703.47,53372.69,6566.262
2021:04:22 19:00:00,53372.69,53550.0,52222.17,52923.54,6231.5493
2021:04:22 20:00:00,52923.54,52932.39,51500.0,51623.57,7619.34
2021:04:22 21:00:00,51629.98,52102.5,50500.0,51673.71,9587.59
2021:04:22 22:00:00,51679.97,52234.74,51310.34,51620.8,4319.3706
2021:04:22 23:00:00,51620.8,52221.01,51450.01,51690.96,2921.705
2021:04:23 00:00:00,51690.95,52131.85,51280.52,51524.09,5265.7983
2021:04:23 01:00:00,51524.76,51725.74,49722.22,51080.59,11667.632
2021:04:23 02:00:00,51048.59,51427.93,48555.0,49999.99,15482.244
2021:04:23 03:00:00,50000.0,50435.45,49647.2,50298.76,6932.4595
2021:04:23 04:00:00,50298.76,50572.08,49073.61,49178.19,6054.132
2021:04:23 05:00:00,49178.2,49937.27,48443.01,49501.73,7362.056
2021:04:23 06:00:00,49501.74,49528.99,48500.0,49051.48,6941.067
2021:04:23 07:00:00,49051.48,49500.0,47700.0,47942.44,9913.986
2021:04:23 08:00:00,47936.0,48858.14,47500.0,48749.75,8238.441
2021:04:23 09:00:00,48761.02,48783.6,47842.61,48226.87,4383.6865
2021:04:23 10:00:00,48226.86,49665.32,48130.03,49455.53,6387.862
2021:04:23 11:00:00,49457.48,50269.17,49271.03,50070.36,5122.011
2021:04:23 12:00:00,50070.36,50300.0,49189.43,49249.3,4048.8254
2021:04:23 13:00:00,49249.3,49470.33,48541.0,49127.39,4762.915
2021:04:23 14:00:00,49128.47,49943.91,48811.57,49728.37,3247.1877
2021:04:23 15:00:00,49728.42,49935.01,48981.0,49836.62,3752.4626
2021:04:23 16:00:00,49836.63,50126.48,49470.26,49836.91,2928.128
2021:04:23 17:00:00,49836.9,50115.75,49510.42,49824.74,3000.7217
2021:04:23 18:00:00,49827.18,50777.0,49620.02,50563.59,3088.9543
2021:04:23 19:00:00,50563.59,50920.0,50413.51,50876.72,2743.7283
2021:04:23 20:00:00,50876.71,51301.34,50500.0,50504.32,4892.0337
2021:04:23 21:00:00,50505.35,50950.01,50284.38,50298.07,2481.7485
2021:04:23 22:00:00,50298.07,50720.0,50140.0,50469.05,1802.0981
2021:04:23 23:00:00,50469.12,51146.77,50469.11,51125.14,1582.9845
2021:04:24 00:00:00,51110.56,51166.22,49560.0,49864.95,4070.2498
2021:04:24 01:00:00,49864.94,50050.0,49700.4,49724.1,1985.6665
2021:04:24 02:00:00,49724.1,50395.15,49304.06,50067.37,2760.264
2021:04:24 03:00:00,50067.36,50452.37,50011.39,50109.93,1774.4474
2021:04:24 04:00:00,50109.92,50631.16,49900.0,50412.76,1752.285
2021:04:24 05:00:00,50412.76,50544.86,50175.19,50456.09,1570.7753
2021:04:24 06:00:00,50456.09,50520.57,50155.0,50210.75,1568.5321
2021:04:24 07:00:00,50210.76,50210.76,49649.7,49805.2,2570.2676
2021:04:24 08:00:00,49798.96,50217.89,49689.09,49762.54,2105.249
2021:04:24 09:00:00,49762.54,49800.0,49424.0,49507.07,2198.661
2021:04:24 10:00:00,49507.16,49509.27,48925.15,48991.37,3488.1157
2021:04:24 11:00:00,48991.36,49523.0,48657.14,49073.71,4199.528
2021:04:24 12:00:00,49072.12,49797.61,48917.16,49549.87,3604.0425
2021:04:24 13:00:00,49554.73,49747.48,49334.49,49554.32,2379.4
2021:04:24 14:00:00,49554.32,49554.33,49100.0,49294.71,2039.2554
2021:04:24 15:00:00,49295.64,50360.63,48900.0,50212.03,4195.6035
2021:04:24 16:00:00,50210.01,50300.0,49838.72,49894.73,2004.3947
2021:04:24 17:00:00,49894.73,50159.76,49650.0,50121.31,1581.7797
2021:04:24 18:00:00,50123.44,50800.74,49986.03,50562.06,2164.2642
2021:04:24 19:00:00,50562.05,50888.0,50562.05,50667.75,1248.6313
2021:04:24 20:00:00,50667.79,50995.0,50535.86,50930.49,1563.7153
2021:04:24 21:00:00,50930.49,51000.0,50623.01,50853.72,1255.527
2021:04:24 22:00:00,50853.71,50934.4,50223.72,50298.84,1607.6497
2021:04:24 23:00:00,50292.32,50519.75,49900.0,50047.84,1673.2085
2021:04:25 00:00:00,50047.84,50302.15,49716.41,49821.69,2241.4956
2021:04:25 01:00:00,49821.69,50306.12,49800.0,50132.66,1304.8196
2021:04:25 02:00:00,50132.66,50452.85,50120.88,50289.01,1210.9222
2021:04:25 03:00:00,50289.01,50331.16,49600.0,49615.54,1663.7714
2021:04:25 04:00:00,49626.76,49705.04,49600.24,49683.94,5.887034
2021:04:25 08:00:00,49683.95,50280.0,49671.52,50086.13,920.1931
2021:04:25 09:00:00,50086.77,50223.21,49161.94,49486.62,3835.8623
2021:04:25 10:00:00,49486.62,49918.0,49179.43,49342.51,3900.26
2021:04:25 11:00:00,49339.75,49683.54,49248.52,49550.73,1867.4115
2021:04:25 12:00:00,49550.74,49974.65,49450.0,49859.54,2412.986
2021:04:25 13:00:00,49861.21,50157.46,49750.0,49872.91,2934.1545
2021:04:25 14:00:00,49872.9,50500.0,49700.0,50335.68,2830.297
2021:04:25 15:00:00,50335.67,50567.91,50191.26,50257.97,2411.0635
2021:04:25 16:00:00,50257.97,50395.49,50043.28,50395.49,1930.645
2021:04:25 17:00:00,50395.49,50434.0,49768.17,49921.81,2065.1326
2021:04:25 18:00:00,49921.81,49949.23,49470.0,49622.7,2454.0732
2021:04:25 19:00:00,49622.7,49785.95,49295.09,49333.01,1782.2242
2021:04:25 20:00:00,49333.01,49593.18,47900.0,48094.68,5353.1216
2021:04:25 21:00:00,48097.99,48392.49,46930.0,47598.87,8179.866
2021:04:25 22:00:00,47598.87,48812.33,47507.31,48689.03,5607.3223
2021:04:25 23:00:00,48694.09,49171.76,48500.0,49066.77,3344.136
2021:04:26 00:00:00,49066.76,50989.0,48753.44,50900.0,6885.231
2021:04:26 01:00:00,50899.99,51983.56,50437.37,51920.39,6233.06
2021:04:26 02:00:00,51920.39,52500.0,51698.09,51969.24,5057.531
2021:04:26 03:00:00,51961.34,52427.97,51833.31,52398.99,3147.615
2021:04:26 04:00:00,52398.99,52722.35,52000.0,52299.99,3111.1624
2021:04:26 05:00:00,52300.0,52579.91,52051.06,52535.23,2571.7927
2021:04:26 06:00:00,52535.23,53080.0,52421.23,52832.0,3992.4473
2021:04:26 07:00:00,52831.99,52969.35,52445.48,52801.37,3307.1929
2021:04:26 08:00:00,52801.37,52981.07,52507.41,52584.19,2382.146
2021:04:26 09:00:00,52584.19,53544.68,52275.0,53450.04,4242.6123
2021:04:26 10:00:00,53450.04,53530.29,53119.01,53217.03,3124.2253
2021:04:26 11:00:00,53217.03,53685.0,53217.03,53598.39,3308.4617
2021:04:26 12:00:00,53598.39,53950.0,53407.82,53484.75,4131.4307
2021:04:26 13:00:00,53484.74,53894.61,53200.0,53659.52,3680.5022
2021:04:26 14:00:00,53657.33,53844.19,53354.38,53545.87,2570.5435
2021:04:26 15:00:00,53545.87,53700.02,53239.69,53571.12,2105.318
2021:04:26 16:00:00,53571.13,53757.97,52868.07,53284.61,3930.7256
2021:04:26 17:00:00,53284.6,54356.62,53276.75,54034.75,3853.42
2021:04:26 18:00:00,54034.74,54284.46,53880.27,54245.87,2461.2354
2021:04:26 19:00:00,54245.87,54300.0,53702.08,54036.19,3319.135
2021:04:26 20:00:00,54038.21,54040.0,53179.68,53180.0,3491.7083
2021:04:26 21:00:00,53180.01,53478.0,52600.36,53363.54,4705.6665
2021:04:26 22:00:00,53363.53,54250.0,52857.14,53582.45,2906.4812
2021:04:26 23:00:00,53582.45,54050.08,53451.12,54001.39,1791.1586
2021:04:27 00:00:00,54001.38,54160.61,53519.0,53657.36,2201.1963
2021:04:27 01:00:00,53657.35,53838.58,53571.88,53772.23,1682.4491
2021:04:27 02:00:00,53772.23,54000.0,53728.68,53812.01,1926.6132
2021:04:27 03:00:00,53812.0,53827.34,53267.71,53460.3,1956.128
2021:04:27 04:00:00,53460.3,53591.51,53222.0,53456.85,1698.3999
2021:04:27 05:00:00,53456.85,53970.0,53405.82,53918.3,1911.6522
2021:04:27 06:00:00,53918.3,54933.74,53898.61,54700.34,4568.1465
2021:04:27 07:00:00,54700.35,54879.72,54317.13,54545.01,2343.168
2021:04:27 08:00:00,54545.0,54986.96,54349.77,54430.17,2402.511
2021:04:27 09:00:00,54430.25,54688.49,54248.92,54487.04,1823.9503
2021:04:27 10:00:00,54487.05,54782.7,54426.66,54683.34,2148.3845
2021:04:27 11:00:00,54688.72,55242.32,54625.31,55152.43,3287.1484
2021:04:27 12:00:00,55152.43,55281.16,54736.78,54838.53,2259.3884
2021:04:27 13:00:00,54838.53,55040.83,54400.0,54726.35,2590.975
2021:04:27 14:00:00,54726.34,55068.91,54258.32,54953.92,4785.5083
2021:04:27 15:00:00,54953.27,55300.0,54820.38,54981.87,2714.5432
2021:04:27 16:00:00,54981.86,55081.61,54545.64,54663.28,2348.6758
2021:04:27 17:00:00,54663.28,54933.45,54258.4,54875.62,2203.989
2021:04:27 18:00:00,54875.63,54991.45,54624.76,54960.01,1564.5779
2021:04:27 19:00:00,54960.01,54976.49,54613.68,54761.7,1371.2869
2021:04:27 20:00:00,54761.7,55183.33,54761.7,55133.88,1467.825
2021:04:27 21:00:00,55133.88,55460.0,54818.48,55275.29,1717.621
2021:04:27 22:00:00,55275.29,55339.42,54875.36,54944.72,1395.9357
2021:04:27 23:00:00,54944.72,55049.97,54738.43,55011.97,1693.9609
2021:04:28 00:00:00,55011.97,55466.31,54967.38,55384.61,2648.2053
2021:04:28 01:00:00,55384.61,55738.0,55280.01,55471.2,2372.7888
2021:04:28 02:00:00,55471.2,55629.67,55173.2,55189.99,2237.1443
2021:04:28 03:00:00,55190.0,55276.76,54769.42,54774.05,2477.0833
2021:04:28 04:00:00,54774.05,54995.07,54545.0,54820.54,1616.6163
2021:04:28 05:00:00,54820.54,54938.4,54400.0,54594.5,1973.1086
2021:04:28 06:00:00,54599.24,54628.65,53813.16,54144.18,4867.742
2021:04:28 07:00:00,54144.18,54550.78,54040.01,54255.98,1991.6868
2021:04:28 08:00:00,54255.98,54535.51,54055.83,54063.23,1803.603
2021:04:28 09:00:00,54063.23,54420.86,53917.64,54215.31,2263.804
2021:04:28 10:00:00,54215.3,54476.26,54102.35,54413.56,1337.2224
2021:04:28 11:00:00,54413.57,55087.85,54411.81,54853.26,3066.7666
2021:04:28 12:00:00,54853.26,55327.0,54762.42,55175.25,2451.4023
2021:04:28 13:00:00,55175.25,55195.35,54625.0,54780.0,2012.4548
2021:04:28 14:00:00,54780.01,54917.29,54460.41,54489.22,1854.24
2021:04:28 15:00:00,54489.21,54611.27,54111.11,54338.14,2069.0317
2021:04:28 16:00:00,54338.14,54775.0,54245.33,54704.76,1719.3329
2021:04:28 17:00:00,54704.75,54975.45,54523.0,54838.72,1391.817
2021:04:28 18:00:00,54838.73,55070.0,54643.45,54933.76,1667.3702
2021:04:28 19:00:00,54933.75,55432.0,54724.91,55411.97,1761.2963
2021:04:28 20:00:00,55407.03,56428.0,54159.0,54369.08,7215.862
2021:04:28 21:00:00,54369.08,54884.0,54002.0,54801.34,1809.9824
2021:04:28 22:00:00,54801.33,54838.43,54311.0,54466.72,1309.9672
2021:04:28 23:00:00,54469.96,54886.63,54363.86,54846.22,1211.9305
2021:04:29 00:00:00,54846.23,55195.84,54673.96,54720.07,1873.4388
2021:04:29 01:00:00,54720.07,54775.98,54415.37,54567.68,1669.7842
2021:04:29 02:00:00,54567.68,54752.12,54306.01,54575.94,1729.9718
2021:04:29 03:00:00,54575.93,54632.58,54046.33,54265.1,1854.697
2021:04:29 04:00:00,54265.1,54265.1,53510.0,53564.94,3064.684
2021:04:29 05:00:00,53564.94,53976.19,53482.22,53896.92,2134.2178
2021:04:29 06:00:00,53896.92,54493.87,53856.49,54372.84,2055.5571
2021:04:29 07:00:00,54372.84,54486.45,54255.0,54465.14,1478.3512
2021:04:29 08:00:00,54465.27,54467.99,53850.0,53929.29,2319.6362
2021:04:29 09:00:00,53929.28,54739.43,53759.98,54541.01,2798.3337
2021:04:29 10:00:00,54540.01,54689.48,54338.33,54428.04,1736.139
2021:04:29 11:00:00,54428.04,54546.33,54105.22,54300.16,1855.1959
2021:04:29 12:00:00,54300.16,54531.89,54159.47,54330.01,2002.7811
2021:04:29 13:00:00,54330.01,54404.59,53560.0,53606.03,3125.2095
2021:04:29 14:00:00,53606.03,53913.78,53508.0,53682.26,2505.8308
2021:04:29 15:00:00,53682.26,53912.83,53303.68,53703.11,2704.689
2021:04:29 16:00:00,53703.11,53816.19,52950.0,52972.0,3351.6665
2021:04:29 17:00:00,52972.0,53183.72,52700.0,52742.95,3725.62
2021:04:29 18:00:00,52742.98,53039.27,52476.69,52928.54,2690.7559
2021:04:29 19:00:00,52935.72,53036.79,52800.0,52860.02,1452.0305
2021:04:29 20:00:00,52860.02,53337.07,52330.94,52981.71,2843.6077
2021:04:29 21:00:00,52977.71,53363.99,52808.05,53329.2,1120.1403
2021:04:29 22:00:00,53329.2,53437.49,53101.61,53387.35,1078.3132
2021:04:29 23:00:00,53387.35,53650.63,53300.0,53555.0,1315.3678
2021:04:30 00:00:00,53555.0,53816.36,53013.01,53386.46,2623.1204
2021:04:30 01:00:00,53386.47,53636.36,53183.27,53395.09,1925.0
2021:04:30 02:00:00,53395.09,53617.07,53331.48,53520.42,1530.5283
2021:04:30 03:00:00,53520.42,53773.08,53421.4,53679.03,2057.2173
